Power,Current,Voltage,Shunt,Freq,Util,WorkMode
204.63,41.0,4.98,4.13,240,25,noop_test.csv
193.9,39.1,4.98,3.9,240,25,noop_test.csv
207.07,41.0,4.98,4.19,240,25,noop_test.csv
193.9,39.0,4.97,3.9,240,25,noop_test.csv
206.1,41.4,4.98,4.17,240,25,noop_test.csv
193.9,39.0,4.98,3.98,240,25,noop_test.csv
208.29,41.6,4.97,4.09,240,25,noop_test.csv
193.9,39.0,4.97,3.96,240,25,noop_test.csv
207.8,41.7,4.98,4.1,240,25,noop_test.csv
193.9,39.0,4.98,3.9,240,25,noop_test.csv
206.59,41.79,4.98,4.07,240,25,noop_test.csv
193.9,39.0,4.98,3.9,240,25,noop_test.csv
206.1,41.79,4.97,4.02,240,25,noop_test.csv
193.9,39.0,4.98,4.06,240,25,noop_test.csv
202.93,41.29,4.97,3.9,240,25,noop_test.csv
195.12,39.6,4.97,4.08,240,25,noop_test.csv
200.24,41.9,4.98,3.9,240,25,noop_test.csv
194.15,39.0,4.97,4.09,240,25,noop_test.csv
197.8,41.6,4.97,3.9,240,25,noop_test.csv
195.12,39.0,4.97,4.1,240,25,noop_test.csv
195.85,41.0,4.97,3.9,240,25,noop_test.csv
197.07,39.1,4.98,4.13,240,25,noop_test.csv
195.12,40.9,4.97,3.9,240,25,noop_test.csv
198.29,39.1,4.98,4.15,240,25,noop_test.csv
194.15,40.5,4.98,3.9,240,25,noop_test.csv
200.24,39.4,4.98,4.15,240,25,noop_test.csv
193.9,39.9,4.97,3.9,240,25,noop_test.csv
202.93,39.79,4.98,4.19,240,25,noop_test.csv
193.9,39.6,4.97,3.89,240,25,noop_test.csv
203.9,40.29,4.98,4.2,240,25,noop_test.csv
193.9,39.29,4.97,3.9,240,25,noop_test.csv
203.9,40.79,4.98,4.19,240,25,noop_test.csv
193.41,39.0,4.97,3.9,240,25,noop_test.csv
203.9,40.9,4.97,4.15,240,25,noop_test.csv
193.9,39.0,4.98,3.9,240,25,noop_test.csv
205.85,41.0,4.98,4.13,240,25,noop_test.csv
193.9,39.0,4.98,3.9,240,25,noop_test.csv
207.32,41.0,4.98,4.19,240,25,noop_test.csv
194.15,39.0,4.97,3.98,240,25,noop_test.csv
206.59,41.79,4.98,4.17,240,25,noop_test.csv
193.9,39.0,4.97,3.97,240,25,noop_test.csv
208.29,41.0,4.98,4.1,240,25,noop_test.csv
194.15,39.0,4.97,3.96,240,25,noop_test.csv
206.59,41.4,4.97,3.92,240,25,noop_test.csv
193.9,39.0,4.97,4.0,240,25,noop_test.csv
203.9,41.9,4.98,3.91,240,25,noop_test.csv
197.07,39.0,4.97,4.04,240,25,noop_test.csv
203.9,41.6,4.97,3.9,240,25,noop_test.csv
194.15,39.79,4.98,4.08,240,25,noop_test.csv
201.46,41.1,4.98,3.9,240,25,noop_test.csv
196.1,39.6,4.97,4.09,240,25,noop_test.csv
199.02,41.7,4.98,3.9,240,25,noop_test.csv
197.8,39.0,4.97,4.1,240,25,noop_test.csv
197.07,40.6,4.98,3.9,240,25,noop_test.csv
